Specimen ID	Nominal Species ID
OG201	Galeocerdo cuvier
OG202	Galeocerdo cuvier
OG203	Galeocerdo cuvier
OG204	Galeocerdo cuvier
OG205	Galeocerdo cuvier
OG206	Galeocerdo cuvier
OG207	Galeocerdo cuvier
OG208	Galeocerdo cuvier
OG209	Galeocerdo cuvier
OG210	Galeocerdo cuvier
OG211	Galeocerdo cuvier
OG212	Galeocerdo cuvier
OG213	Galeocerdo cuvier
OG214	Galeocerdo cuvier
OG215	Galeocerdo cuvier
OG216	Galeocerdo cuvier
OG217	Galeocerdo cuvier
OG218	Galeocerdo cuvier
OG219	Galeocerdo cuvier
OG220	Galeocerdo cuvier
OG221	Galeocerdo cuvier
OG222	Galeocerdo cuvier
OG223	Galeocerdo cuvier
OG224	Galeocerdo cuvier
OG225	Galeocerdo cuvier
OG226	Galeocerdo cuvier
OG227	Galeocerdo cuvier
OG228	Mordacia
OG229	
OG230	
OG231	
OG232	
OG233	
OG234	
OG235	
OG236	
OG237	
OG238	
OG239	
OG240	
OG241	Acanthistius serratus
OG242	Ophthalmolepis lineolata
OG243	Ophthalmolepis lineolata
OG244	Pomatomus saltatrix
OG245	Saurida undosquamis
OG246	Thyrsitoides marleyi
OG247	Zeus faber
OG248	Acanthurus grammoptilus
OG249	Apogon rueppelli
OG250	Caesio cuning
OG251	Chaetodon aureofasciatus
OG252	Choerodon cauteroma
OG253	Choerodon cyanodus
OG254	Epinephelus bilobatus
OG255	Epinephelus fasciatus
OG256	Hemigymnus melapterus
OG257	Iniistius
OG258	Lethrinus genivittatus
OG259	Acanthistius serratus
OG260	Anyperodon leucogrammicus
OG261	Chironemus maculosus
OG262	Diodon nichthemerus
OG263	Engraulis australis
OG264	Enoplosus armatus
OG265	Epinephelus fuscoguttatus
OG266	Epinephelus miliaris
OG267	Epinephelus poecilonotus
OG268	Epinephelus radiatus
OG269	Etelis
OG270	Etelis radiosus
OG271	Gymnapistes marmoratus
OG272	Hyporhamphus melanochir
OG273	Istiompax indica
OG274	Kathetostoma nigrofasciatum
OG275	Lagocephalus lunaris
OG276	Lagocephalus sceleratus
OG277	Latropiscis purpurissatus 
OG278	Lepidotrigla papilio
OG279	Lethrinus erythracanthus
OG280	Lethrinus xanthochilus
OG281	Leviprora inops
OG282	Lutjanus bitaeniatus
OG283	Lutjanus erythropterus
OG284	Lutjanus malabaricus
OG285	Lutjanus sebae
OG286	Oplegnathus woodwardi
OG287	Parablennius postoculomaculatus
OG288	Plagiogeneion rubiginosum
OG289	Platycephalus chauliodous 
OG290	Platycephalus conatus
OG291	Platycephalus conatus
OG292	Platycephalus grandispinis
OG293	Polyprion americanus
OG294	Pristipomoides filamentosus
OG295	Pristipomoides multidens
OG296	Pristipomoides sieboldii
OG297	Pristipomoides typus
OG298	Randallichthys filamentosus
OG299	Sillago ingenuua
OG300	Lethrinus nebulosus
OG301	Acanthurus olivaceus
OG302	Acanthurus tennentii
OG303	Acanthurus tristis
OG304	Antennarius
OG305	Bodianus frenchii
OG306	Caranx melampygus
OG307	Centroberyx gerrardi
OG308	Centropyge colini
OG309	Cephalopholis sexmaculata
OG310	Chaetodon mitratus
OG311	Cheilinus undulatus
OG312	Chlorurus sordidus
OG313	Chromis lineata
OG314	Chromis nigrura
OG315	Chrysophrys auratus
OG316	Coryphaena hippurus
OG317	Dascyllus aruanus
OG318	Dascyllus trimaculatus
OG319	Epinephelides armatus
OG320	Gerres longirostris
OG321	Gracila albomarginata
OG322	Hipposcarus longiceps
OG323	Lethrinus laticaudis
OG324	Lutjanus argentimaculatus
OG325	Lutjanus johnii
OG326	Macolor niger
OG327	Lethrinus punctulatus
OG328	Ostracion cubicus
OG329	Platycephalus speculator 
OG330	Othos dentex
OG331	Protonibea diacanthus
OG332	Paracirrhites arcatus
OG333	Scarus prasiognathos
OG334	Paracirrhites forsteri
OG335	Paracirrhites hemistictus
OG336	Parupeneus indicus
OG337	Plectropomus areolatus
OG338	Plectropomus maculatus
OG339	Scarus globiceps
OG340	Scarus rivulatus
OG341	Siganus canaliculatus
OG342	Siganus virgatus
OG343	Stethojulis
OG344	Stethojulis
OG345	Trachinotus baillonii
OG346	Variola louti
OG347	Neosebastes thetidis
OG348	
OG349	Acanthocybium solandri
OG350	Cephalopholis aurantia
OG351	Lethrinus variegatus
OG352	Lethrinus xanthochilus
OG353	Lutjanus carponotatus
OG354	Cephalopholis sonnerati
OG355	Chlorurus microrhinos
OG356	Chlorurus microrhinos
OG357	Nemipterus furcosus
OG358	Neopomacentrus filamentosus
OG359	Neotrygon leylandi
OG360	Onigocia oligolepis
OG361	Paramonacanthus choirocephalus
OG362	Paramonacanthus choirocephalus
OG363	Paramonacanthus choirocephalus
OG364	Paramonacanthus choirocephalus
OG365	Parapercis nebulosa
OG366	Parupeneus indicus
OG367	Pentapodus emeryii
OG368	Pentapodus nagasakiensis
OG369	Symphorus nematophorus
OG370	Pentapodus vitta
OG371	Platax batavianus
OG372	Platycephalus endrachtensis
OG373	Platycephalus endrachtensis
OG374	Abudefduf septemfasciatus
OG375	Abudefduf septemfasciatus
OG376	Abudefduf sexfasciatus
OG377	Abudefduf sexfasciatus
OG378	Abudefduf vaigiensis
OG379	Anampses lennardi
OG380	Arripis truttacea
OG381	Bodianus vulpinus
OG382	Caesio cuning
OG383	Carangoides chrysophrys
OG384	Centroberyx australis
OG385	Centroberyx gerrardi
OG386	Cheilinus chlorourus
OG387	Chelmon marginalis
OG388	Choerodon cephalotes
OG389	Choerodon cephalotes
OG390	Choerodon jordani
OG391	Gephyroberyx darwinii
OG392	Platycephalus endrachtensis
OG393	Pictilabrus laticlavius 
OG394	Mordacia
OG395	Mordacia
OG396	Epinephelus morrhua
OG397	Lethrinus rubrioperculatus
OG398	Paracaesio sordida
OG399	Plectropomus leopardus
OG400	Lethrinus miniatus
OG401	Microcanthus strigatus
OG402	Neosebastes nigropunctatus
OG403	Neosebastes pandus
OG404	Plectropomus leopardus
OG405	Parachaetodon ocellatus
OG406	Parma mccullochi
OG407	Parma occidentalis
OG408	Pempheris klunzingeri
OG409	Pentapodus vitta
OG410	Petroscirtes breviceps
OG411	Plectorhynchus vittatus
OG412	Pomacentrus milleri
OG413	Psammoperca waigiensis
OG414	Siganus canaliculatus
OG415	Siganus margaritiferus
OG416	Thalassoma lunare
OG417	Thalassoma lunare
OG418	Tilodon sexfasciatus
OG419	Zeus faber
OG420	Plectropomus oligacanthus
OG421	Variola albimarginata
OG422	Aphareus rutilans
OG423	Aprion virescens
OG424	Cephalopholis argus
OG425	Variola louti
OG426	Chiloscyllium punctatum
OG427	Choerodon schoenleinii
OG428	Choerodon vitta
OG429	Coradion chrysozonus
OG430	Coris pictoides
OG431	Diagramma pictum
OG432	Diploprion bifasciatum
OG433	Lipocheilus carnolabrum
OG434	Lutjanus bohar
OG435	Lutjanus rufolineatus
OG436	Echeneis naucrates
OG437	Engyprosopon grandisquama
OG438	Gazza minuta
OG439	Glaucosoma magnificum
OG440	Gnathanodon speciosus
OG441	Gymnothorax cribroris
OG442	Inegocia japonica
OG443	Lactoria cornuta
OG444	Monacanthus chinensis
OG445	Nebrius ferrugineus
OG446	Batrachomoeus trispinosus
OG447	Callionymus japonicus
